,Date,Timestamp,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol,Perpetual Protocol
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking,optimism,ethereum-staking,Total,staking
,,,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens
,,,,,,,USDC,PERP,USDC,PERP,USDC,PERP,USDC,PERP
,22/11/2022,1669075200,17334812.593463365,3220763.0166745656,17334812.593463365,3220763.0166745656,17334812.593463365,3220763.0166745656,17334812.593463365,3220763.0166745656,17317495.098365,8032048.302259079,17317495.098365,8032048.302259079
,23/11/2022,1669161600,17455525.246020526,3163472.6696600146,17455525.246020526,3163472.6696600146,17455525.246020526,3163472.6696600146,17455525.246020526,3163472.6696600146,17420683.878264,8024271.302259079,17420683.878264,8024271.302259079
,24/11/2022,1669248000,17183741.178180188,3289788.391894494,17183741.178180188,3289788.391894494,17183741.178180188,3289788.391894494,17183741.178180188,3289788.391894494,17149442.293593,7920730.757030989,17149442.293593,7920730.757030989
,25/11/2022,1669334400,17195243.996955022,3212969.9981801277,17195243.996955022,3212969.9981801277,17195243.996955022,3212969.9981801277,17195243.996955022,3212969.9981801277,17178065.931024,7920566.790945196,17178065.931024,7920566.790945196
,26/11/2022,1669420800,17179323.47641272,3427039.9516075947,17179323.47641272,3427039.9516075947,17179323.47641272,3427039.9516075947,17179323.47641272,3427039.9516075947,17180886.937124,7900592.368323293,17180886.937124,7900592.368323293
,27/11/2022,1669507200,17194730.862046737,3365483.1319276085,17194730.862046737,3365483.1319276085,17194730.862046737,3365483.1319276085,17194730.862046737,3365483.1319276085,17177553.308738,7898489.368323293,17177553.308738,7898489.368323293
,28/11/2022,1669593600,17356924.101753235,3431707.4214192037,17356924.101753235,3431707.4214192037,17356924.101753235,3431707.4214192037,17356924.101753235,3431707.4214192037,17339584.517236,7898133.518879814,17339584.517236,7898133.518879814
,29/11/2022,1669680000,16998700.62499809,1439930.4403471397,16998700.62499809,1439930.4403471397,16998700.62499809,1439930.4403471397,16998700.62499809,1439930.4403471397,16981718.906092,3451969.6124428893,16981718.906092,3451969.6124428893
,30/11/2022,1669766400,17083203.885308232,1575317.704838214,17083203.885308232,1575317.704838214,17083203.885308232,1575317.704838214,17083203.885308232,1575317.704838214,16981315.989372,3414427.2284955364,16981315.989372,3414427.2284955364
,01/12/2022,1669852800,16780325.39208838,1802191.636472513,16780325.39208838,1802191.636472513,16780325.39208838,1802191.636472513,16780325.39208838,1802191.636472513,16730134.987127,3411574.716279759,16730134.987127,3411574.716279759
,02/12/2022,1669939200,16754885.344554204,1668426.3879625367,16754885.344554204,1668426.3879625367,16754885.344554204,1668426.3879625367,16754885.344554204,1668426.3879625367,16688132.813301,3414771.021084172,16688132.813301,3414771.021084172
,03/12/2022,1670025600,16411407.184431268,1657219.8740612662,16411407.184431268,1657219.8740612662,16411407.184431268,1657219.8740612662,16411407.184431268,1657219.8740612662,16417317.418702,3413197.195785387,16417317.418702,3413197.195785387
,04/12/2022,1670112000,17015792.573261425,1573243.972545256,17015792.573261425,1573243.972545256,17015792.573261425,1573243.972545256,17015792.573261425,1573243.972545256,17017409.227138,3412639.716587143,17017409.227138,3412639.716587143
,05/12/2022,1670198400,17071880.82426267,1633265.4798805905,17071880.82426267,1633265.4798805905,17071880.82426267,1633265.4798805905,17071880.82426267,1633265.4798805905,17037805.213835,3412639.716587143,17037805.213835,3412639.716587143
,06/12/2022,1670284800,16838509.036788438,1740024.9752602356,16838509.036788438,1740024.9752602356,16838509.036788438,1740024.9752602356,16838509.036788438,1740024.9752602356,16821687.349439,3410877.3577061896,16821687.349439,3410877.3577061896
,07/12/2022,1670371200,16874171.728020452,1655449.3120791176,16874171.728020452,1655449.3120791176,16874171.728020452,1655449.3120791176,16874171.728020452,1655449.3120791176,16886228.495166,3411658.5477061896,16886228.495166,3411658.5477061896
