,Date,Timestamp,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX,ApolloX
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,bsc,bsc-staking,pool2,Total,bsc-pool2,staking,bsc,bsc,bsc,bsc,bsc,bsc-staking,pool2,pool2,Total,Total,Total,Total,Total,bsc-pool2,bsc-pool2,staking,bsc,bsc,bsc,bsc,bsc,bsc-staking,pool2,pool2,Total,Total,Total,Total,Total,bsc-pool2,bsc-pool2,staking
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,BABY,USDT,BUSD,LEOS,CAKE,APX,APX,BUSD,BABY,USDT,BUSD,LEOS,CAKE,APX,BUSD,APX,BABY,USDT,BUSD,LEOS,CAKE,APX,APX,BUSD,BABY,USDT,BUSD,LEOS,CAKE,APX,BUSD,APX
,24/11/2022,1669248000,17325600.894473456,5817962.793588855,3529643.3497788548,17325600.894473456,3529643.3497788548,5817962.793588855,232.6992918213233,10484777.671556056,6311346.382273098,0.3528385753544288,529243.7885139033,5817962.793588855,1766201.7771299775,1763441.5726488773,232.6992918213233,10484777.671556056,6311346.382273098,0.3528385753544288,529243.7885139033,1766201.7771299775,1763441.5726488773,5817962.793588855,8124.14697319,10484777.671556056,6334740.863349634,172.02071792,135011.17053926105,176686705.063083,53638083.21729711,1769978.18116347,8124.14697319,10484777.671556056,6334740.863349634,172.02071792,135011.17053926105,53638083.21729711,1769978.18116347,176686705.063083
,25/11/2022,1669334400,17450804.036603432,5796416.264654806,3527073.0920348745,17450804.036603432,3527073.0920348745,5796416.264654806,236.26692972312995,10556787.903688785,6353612.199515169,0.2985023911850384,540167.3679673641,5796416.264654806,1764682.176281166,1762390.9157537087,236.26692972312995,10556787.903688785,6353612.199515169,0.2985023911850384,540167.3679673641,1764682.176281166,1762390.9157537087,5796416.264654806,8124.14697319,10546241.66202676,6357493.453929065,172.02071792,135041.84199184104,176838079.8354635,53837232.062906824,1763467.5139636688,8124.14697319,10546241.66202676,6357493.453929065,172.02071792,135041.84199184104,53837232.062906824,1763467.5139636688,176838079.8354635
,26/11/2022,1669420800,17465390.260200817,5318175.4486715505,3372382.658057909,17465390.260200817,3372382.658057909,5318175.4486715505,232.79783772410812,10522237.952623777,6408588.788128635,0.3158678826590624,534330.4057427993,5318175.4486715505,1689877.8017832185,1682504.8562746905,232.79783772410812,10522237.952623777,6408588.788128635,0.3158678826590624,534330.4057427993,1689877.8017832185,1682504.8562746905,5318175.4486715505,8124.14697319,10527133.069501096,6413523.397445374,172.02071792,134931.92064212103,177460741.6490274,56389070.06642441,1683800.3839507075,8124.14697319,10527133.069501096,6413523.397445374,172.02071792,134931.92064212103,56389070.06642441,1683800.3839507075,177460741.6490274
,27/11/2022,1669507200,17530373.96689014,5130279.1346279755,3310035.918424722,17530373.96689014,3310035.918424722,5130279.1346279755,234.57491363302367,10564461.339394562,6424586.174530735,0.3236862242885264,541091.5543649852,5130279.1346279755,1657925.251831827,1652110.6665928948,234.57491363302367,10564461.339394562,6424586.174530735,0.3236862242885264,541091.5543649852,1657925.251831827,1652110.6665928948,5130279.1346279755,8124.14697319,10564461.339394562,6438073.283405377,172.02071792,134265.89438337102,177472313.73695797,57352791.675507866,1655578.9361168726,8124.14697319,10564461.339394562,6438073.283405377,172.02071792,134265.89438337102,57352791.675507866,1655578.9361168726,177472313.73695797
,28/11/2022,1669593600,17589688.676127944,5261163.638769119,3353677.479505878,17589688.676127944,3353677.479505878,5261163.638769119,232.3895993387053,10610661.664504364,6436717.0262900535,0.3236862242885264,542077.2720479642,5261163.638769119,1680441.700012059,1673235.7794938188,232.3895993387053,10610661.664504364,6436717.0262900535,0.3236862242885264,542077.2720479642,1680441.700012059,1673235.7794938188,5261163.638769119,8124.14697319,10610661.664504364,6445052.646401917,172.02071792,135519.31801199104,177440366.2007398,56675330.99177543,1675402.638431142,8124.14697319,10610661.664504364,6445052.646401917,172.02071792,135519.31801199104,56675330.99177543,1675402.638431142,177440366.2007398
,29/11/2022,1669680000,17617073.034945734,5148225.8146945415,3324218.4133464918,17617073.034945734,3324218.4133464918,5148225.8146945415,223.79620163634382,10625354.63630152,6465321.378758361,0.3236862242885264,526172.8999979924,5148225.8146945415,1657183.8051173866,1667034.608229105,223.79620163634382,10625354.63630152,6465321.378758361,0.3236862242885264,526172.8999979924,1657183.8051173866,1667034.608229105,5148225.8146945415,8124.14697319,10614739.896405116,6469667.370109336,172.02071792,135611.57216443104,176835795.33612755,56922409.14523107,1668155.189490996,8124.14697319,10614739.896405116,6469667.370109336,172.02071792,135611.57216443104,56922409.14523107,1668155.189490996,176835795.33612755
,30/11/2022,1669766400,17588959.757512234,5192098.769090953,3352989.2015831317,17588959.757512234,3352989.2015831317,5192098.769090953,226.86461070664797,10574391.886493329,6475580.498786441,0.3217527114191056,538760.1858690452,5192098.769090953,1672146.878839461,1680842.3227436708,226.86461070664797,10574391.886493329,6475580.498786441,0.3217527114191056,538760.1858690452,1672146.878839461,1680842.3227436708,5192098.769090953,8124.14697319,10553285.315861605,6433826.130058956,172.02071792,135707.85538263104,176551735.75043273,56859556.61056566,1670004.2966964687,8124.14697319,10553285.315861605,6433826.130058956,172.02071792,135707.85538263104,56859556.61056566,1670004.2966964687,176551735.75043273
,01/12/2022,1669852800,17749101.692341935,5199865.186779137,3358522.575019929,17749101.692341935,3358522.575019929,5199865.186779137,222.832840288263,10642999.652479822,6574926.528828031,0.3118460382740928,530952.3663477579,5199865.186779137,1680330.8017095916,1678191.7733103374,222.832840288263,10642999.652479822,6574926.528828031,0.3118460382740928,530952.3663477579,1680330.8017095916,1678191.7733103374,5199865.186779137,8124.14697319,10611166.154017769,6539654.9214062365,172.02071792,133741.15021354103,176042356.44149375,56887896.764379196,1669189.0078578026,8124.14697319,10611166.154017769,6539654.9214062365,172.02071792,133741.15021354103,56887896.764379196,1669189.0078578026,176042356.44149375
,02/12/2022,1669939200,17537078.988033276,5224820.888037413,3362330.827090634,17537078.988033276,3362330.827090634,5224820.888037413,210.27030934067983,10553485.21335391,6454372.710100462,0.2983888575112112,529010.4958807091,5224820.888037413,1686303.4409931132,1676027.386097521,210.27030934067983,10553485.21335391,6454372.710100462,0.2983888575112112,529010.4958807091,1686303.4409931132,1676027.386097521,5224820.888037413,8124.14697319,10521919.454988943,6428191.9029006865,172.02071792,133926.70781790104,176190528.6179449,56865240.17676691,1669228.9330444,8124.14697319,10521919.454988943,6428191.9029006865,172.02071792,133926.70781790104,56865240.17676691,1669228.9330444,176190528.6179449
,03/12/2022,1670025600,17472731.900544465,5202126.230248162,3342935.6722709495,17472731.900544465,3342935.6722709495,5202126.230248162,235.37449217812505,10478296.701508274,6456344.0163378315,0.2954748265496464,537855.5127313527,5202126.230248162,1669138.5211513075,1673797.151119642,235.37449217812505,10478296.701508274,6456344.0163378315,0.2954748265496464,537855.5127313527,1669138.5211513075,1673797.151119642,5202126.230248162,8124.14697319,10467828.87263564,6444795.782549656,172.02071792,134128.55679086104,176206895.8242879,56537212.76555491,1670803.2894595137,8124.14697319,10467828.87263564,6444795.782549656,172.02071792,134128.55679086104,56537212.76555491,1670803.2894595137,176206895.8242879
