,Date,Timestamp,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX,dYdX
,,,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives,Derivatives
,,,ethereum,Total,ethereum,ethereum,ethereum,ethereum,Total,Total,Total,Total,Total,ethereum,ethereum,ethereum,ethereum,Total,Total,Total,Total,Total
,,,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,WETH,USDC,SAI,DAI,UNKNOWN (0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359),WETH,USDC,DAI,SAI,WETH,USDC,SAI,DAI,UNKNOWN (0x89d24A6b4CcB1B6fAA2625fE562bDD9a23260359),WETH,USDC,DAI,SAI
,26/07/2022,1658793600,567418950.0655593,567418950.0655593,2683057.766713527,560734569.2896842,,4001323.0091615655,,2683057.766713527,560734569.2896842,4001323.0091615655,,1846.7929727795097,559057397.098389,,3985381.483228651,,1846.7929727795097,559057397.098389,3985381.483228651,
,27/07/2022,1658880000,570196435.2450068,570196435.2450068,2658070.6678643357,563548997.7124306,,3989366.8647118793,,2658070.6678643357,563548997.7124306,3989366.8647118793,,1845.7926822059594,562986011.70073,,3985381.483228651,,1845.7926822059594,562986011.70073,3985381.483228651,
,28/07/2022,1658966400,574284064.3405005,574284064.3405005,2982359.29079817,567318141.8651274,,3983563.184574846,,2982359.29079817,567318141.8651274,3983563.184574846,,1845.770643774629,567444682.02922,,3984997.783777006,,1845.770643774629,567444682.02922,3984997.783777006,
,29/07/2022,1659052800,575949503.2958477,575949503.2958477,3183439.996733117,568787818.2900409,,3978245.009073704,,3183439.996733117,568787818.2900409,3978245.009073704,,1845.7185576819616,569550446.337687,,3984867.8594561205,,1845.7185576819616,569550446.337687,3984867.8594561205,
,30/07/2022,1659139200,573629291.8453984,573629291.8453984,3185897.185445587,566472078.8703647,,3971315.7895882246,,3185897.185445587,566472078.8703647,3971315.7895882246,,1845.6985525024838,565906172.697667,,3980028.071035722,,1845.6985525024838,565906172.697667,3980028.071035722,
,31/07/2022,1659225600,572907307.5008379,572907307.5008379,3140422.0239030635,565789369.3382117,,3977516.1387232235,,3140422.0239030635,565789369.3382117,3977516.1387232235,,1845.6026045963808,565998788.890101,,3979175.4548879117,,1845.6026045963808,565998788.890101,3979175.4548879117,
,01/08/2022,1659312000,572400706.8470665,572400706.8470665,3101534.142285835,565316223.847704,,3982948.8570766393,,3101534.142285835,565316223.847704,3982948.8570766393,,1845.5580600794,565316223.847704,,3978969.88718945,,1845.5580600794,565316223.847704,3978969.88718945,
,02/08/2022,1659398400,577521889.9203922,577521889.9203922,3030368.57225776,570508933.8550302,,3982587.493104213,,3030368.57225776,570508933.8550302,3982587.493104213,,1845.3552469051492,569370193.468094,,3978608.8842199934,,1845.3552469051492,569370193.468094,3978608.8842199934,
,03/08/2022,1659484800,550673261.1466879,550673261.1466879,2948321.497021023,543751010.9696405,,3973928.680026294,,2948321.497021023,543751010.9696405,3973928.680026294,,1845.2843337053268,544529143.115152,,3978603.5391848367,,1845.2843337053268,544529143.115152,3978603.5391848367,
,04/08/2022,1659571200,546956169.0542511,546956169.0542511,3029108.4301721076,539948676.5375392,,3978384.086539709,,3029108.4301721076,539948676.5375392,3978384.086539709,,1844.4643269207304,539409267.270269,,3974409.6768628466,,1844.4643269207304,539409267.270269,3974409.6768628466,
